teks,teks_bersih,teks_processed,label,sub_kategori,sumber,text_length,word_count,exclamation_count,has_url,has_phone,has_code,uppercase_ratio,domain
"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K","[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek di tsel.me/mytsel1 S&K",promo beli paket flash gb my telkomsel app extra kuota gb lte extra nelpon mnt hr buru cek tsel me mytsel,0,normal,yudiwbs_gist,153,26,0,0,0,0,0.27450980392156865,sms
2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,gb rp ribu spesial pilih aktif promo sd nov buru aktif,0,normal,yudiwbs_gist,152,25,0,0,0,0,0.07894736842105263,sms
"2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#","2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di [URL] utk cek kuota&beli paket Flash atau hub *363#",plg sisa kuota flash kb download mytelkomsel apps cek kuota beli paket flash hub [url],0,normal,yudiwbs_gist,152,21,0,1,0,0,0.06578947368421052,sms
"2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#","2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di [URL] utk cek kuota&beli paket Flash atau hub *363#",plg sisa kuota flash kb download mytelkomsel apps cek kuota beli paket flash hub [url],0,normal,yudiwbs_gist,153,21,0,1,0,0,0.06535947712418301,sms
4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,gb rp ribu spesial pilih aktif buru skb,0,normal,yudiwbs_gist,113,18,1,0,0,0,0.08849557522123894,sms
5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,ekstra pulsa rb dg beli paket internet bulan mytelkomsel beli sjk aug sept cek detail promo tsel me mytsel,0,normal,yudiwbs_gist,153,24,1,0,0,0,0.13071895424836602,sms
"Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111","Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111",iring tarif rp hr panjang rp hr hits armada curi hati tekan ok call info,0,normal,yudiwbs_gist,140,21,0,0,0,0,0.08571428571428572,sms
Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,eks loh internetan pake volume ultima mb hr hrga rp rb tarif lokasi cek tsel me fl,0,normal,yudiwbs_gist,140,21,1,0,0,0,0.05,sms
"Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808","Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808",aktif iring coboy jr hebat tekan info hits baru noah engkau aktif iring hp ketik mg noah kirim info berkah iring rp dr yuni shara aktif iring tkn ok call raih thr puluhanjt henti unreg,0,normal,yudiwbs_gist,321,55,1,0,0,0,0.14018691588785046,sms
Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,ambil bonus hari bebas pulsa dptkan gratis nelpon internetan promo sesuai hobi,0,normal,yudiwbs_gist,114,17,1,0,0,0,0.03508771929824561,sms
Anda akan berhenti berlangganan Paket Flash. Ketik FLASH<spasi>YA jika setuju. Tunggu SMS konfirmasi penonaktifan Paket Anda,Anda akan berhenti berlangganan Paket Flash. Ketik FLASH YA jika setuju. Tunggu SMS konfirmasi penonaktifan Paket Anda,henti langgan paket flash ketik flash tuju tunggu sms konfirmasi nonaktif paket,0,normal,yudiwbs_gist,124,16,0,0,0,0,0.13709677419354838,sms
Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,langgan paket rp mb mb tuju balas flash kirim lanjut paket panjang aktif tarif sesuai lokasi tunggu sms konfirmasi sblm pakai info zona detail tarif tsel me internet,0,normal,yudiwbs_gist,304,47,0,0,0,0,0.08223684210526316,sms
